user_id,website,order_datetime,order_id,item_name,asin,quantity,currency,unit_price,item_condition,order_status,category_1
4a0c65a1fdeb3bb88d2b70450fa0edf1,Amazon.com,2023-08-31 23:51:41,112-9010291-0565832,"Maruchan Ramen Noodles Chicken Flavor, 3 Ounce, Pack of 6",B0029JS1ZG,0,USD,2.49,New,Cancelled,Grocery & Gourmet Food
4a0c65a1fdeb3bb88d2b70450fa0edf1,Amazon.com,2023-08-31 23:51:41,112-9010291-0565832,"Lipton Soup and Dip Mix For a Delicious Meal Onion Mushroom Great With Your Favorite Recipes, Dip or Soup Mix 1.8 oz",B004G7LNC2,0,USD,1.99,New,Cancelled,Grocery & Gourmet Food
4a0c65a1fdeb3bb88d2b70450fa0edf1,Amazon.com,2023-08-31 23:51:41,112-9010291-0565832,Amazon Brand - Happy Belly Cream of Mushroom Soup 10.5 Ounce,B07T9KS1DN,0,USD,1.19,New,Cancelled,Grocery & Gourmet Food
4a0c65a1fdeb3bb88d2b70450fa0edf1,Amazon.com,2023-08-31 23:51:41,112-9010291-0565832,"Fresh Brand - Chicken Thighs, 100% Natural, Bone-In Skin-On, 2 lb",B094BZRBBY,0,USD,5.25,New,Cancelled,Grocery & Gourmet Food
4a0c65a1fdeb3bb88d2b70450fa0edf1,Amazon.com,2023-08-31 23:51:41,112-9010291-0565832,"Amazon Fresh - Louisiana Hot Sauce, 12 oz",B0BT2XYQNB,0,USD,1.78,New,Cancelled,All Departments
15f8e435381e337a8237f01446cba0be,Amazon.com,2023-08-31 23:50:09,111-5121957-5369820,"Natural Herbal Supplement, Organic, Cranberry, Oregano, Echinacea for Dogs and Cats Too for General Strengthening - 1200 Drops, 2 Oz",B08RJRQHZV,1,USD,21.99,New,Closed,Pet Supplies
2182ecd627b63856a1db181a62d2758a,Amazon.co.uk,2023-08-31 23:49:58,206-2906345-7816359,"Dr. Beckmann Power-Foaming Toilet Cleaner, 100 g, 3 Count (Pack of 1)",B08CJ6BFH5,1,GBP,2.75,New,Authorized,Beauty
824c743ad9fc34f7a095019be30a5bd0,Amazon.com,2023-08-31 23:45:48,111-3645071-3156259,"OXO Good Grips Vegetable Chopper, White",B09WFWN76D,1,USD,22.95,New,Closed,Home & Kitchen
5cb1f37e3df63f188838ce602fca8d3f,Amazon.com,2023-08-31 23:45:00,111-6757246-4430647,Van Holten's Pickles - Big Papa Pickle-In-A-Pouch - 12 Pack,B00473LB54,1,USD,27.99,New,Authorized,Grocery & Gourmet Food
76e70f02cc0835908b4a942e298f4693,Amazon.com,2023-08-31 23:44:31,113-5570709-0529859,That Time I Got Reincarnated as a Slime 22,1646517210,1,USD,12.99,New,Authorized,Books
